,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
247,NORTHFIELD,,,,,,,,,,,,,,,4773609.462,5806133.52,0,5806133.52,,,,
248,SHREWSBURY,,,,,,,,,,,,,,,16592507.22,20181439.87,0,20181439.87,,,,
249,PEPPERELL,,,,,,,,,,,,,,,7167650.055,8718001.248,0,8718001.248,,,,
250,PETERSHAM,,,,,,,,,,,,,,,4115290.743,5005421.52,0,5005421.52,,,,
251,NORTH READING,,,,,,,,,,,,,,,8693596.814,10574007.84,0,10574007.84,,,,
252,PHILLIPSTON,,,,,,,,,,,,,,,3316805.486,4034225.184,0,4034225.184,,,,
253,PEMBROKE,,,,,,,,,,,,,,,8689979.426,10569608.02,0,10569608.02,,,,
254,PITTSFIELD,,,,,,,,,,,,,,,21584487.7,26241208.22,328030.56,26569238.78,,,,
255,WESTBOROUGH,,,,,,,,,,,,,,,9730441.199,11835120,0,11835120,,,,
256,PELHAM,,,,,,,,,,,,,,,1733938.141,2108986.176,0,2108986.176,,,,
257,NORTH ADAMS,,,,,,,,,,,,,,,6838227.497,8313701.616,99304.128,8413005.744,,,,
258,REHOBOTH,,,,,,,,,,,,,,,11697773.19,14227982.74,0,14227982.74,,,,
259,NORFOLK,,,,,,,,,,,,,,,6745385.806,8204401.92,0,8204401.92,,,,
260,READING,,,,,,,,,,,,,,,9785311.511,11901858.67,0,11901858.67,,,,
